City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,69.12,83,20,23.02,few clouds
1,Castro,BR,-24.7911,-50.0119,70.88,81,14,11.12,few clouds
2,Hobart,AU,-42.8794,147.3294,61.27,81,75,10.36,light rain
3,Rantepao,ID,-2.9701,119.8978,66.9,97,100,1.28,overcast clouds
4,Alice Springs,AU,-23.7,133.8833,58.55,77,0,5.75,clear sky
5,Chapais,CA,49.7834,-74.8492,-6.02,80,100,2.44,overcast clouds
6,Santa Rosa,PH,14.3122,121.1114,78.12,90,100,6.85,overcast clouds
7,Hilo,US,19.7297,-155.09,76.73,75,75,8.05,broken clouds
8,Ushuaia,AR,-54.8,-68.3,40.66,81,75,37.98,light rain
9,Cabo San Lucas,MX,22.8909,-109.9124,85.3,57,75,8.05,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,78.46,72,83,11.5,light rain
11,Bluff,NZ,-46.6,168.3333,53.8,79,9,4.0,clear sky
12,New Norfolk,AU,-42.7826,147.0587,60.93,73,93,1.59,overcast clouds
13,Jamestown,US,42.097,-79.2353,22.32,39,100,4.0,overcast clouds
14,Cidreira,BR,-30.1811,-50.2056,69.94,91,100,4.12,overcast clouds
15,Barrow,US,71.2906,-156.7887,-29.18,100,0,8.05,clear sky
16,Rincon,US,32.296,-81.2354,66.06,39,40,13.8,scattered clouds
17,Busselton,AU,-33.65,115.3333,63.05,77,0,11.48,clear sky
18,Dunedin,NZ,-45.8742,170.5036,54.52,76,4,1.63,clear sky
19,Mataura,NZ,-46.1927,168.8643,53.47,87,24,1.99,few clouds
20,Hermanus,ZA,-34.4187,19.2345,66.79,83,47,17.2,light rain
21,Albany,US,42.6001,-73.9662,26.17,53,100,4.0,overcast clouds
22,Ewa Beach,US,21.3156,-158.0072,78.75,64,20,12.66,few clouds
23,Port Elizabeth,ZA,-33.918,25.5701,70.09,78,0,11.5,clear sky
24,Tura,IN,25.5198,90.2201,54.05,70,0,4.63,clear sky
25,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,91,4.0,overcast clouds
26,Sandusky,US,41.3501,-83.1332,22.8,70,100,8.01,overcast clouds
27,Joshimath,IN,30.5667,79.5667,37.58,40,0,9.01,clear sky
28,Khatanga,RU,71.9667,102.5,-24.9,94,67,3.58,broken clouds
29,Kuopio,FI,62.8924,27.677,33.75,93,100,12.66,snow
30,Luwingu,ZM,-10.2621,29.9271,61.68,91,93,3.89,overcast clouds
31,Rocha,UY,-34.4833,-54.3333,66.2,57,3,12.88,clear sky
32,Ilulissat,GL,69.2167,-51.1,24.82,54,100,19.57,overcast clouds
33,Sabzevar,IR,36.2126,57.6819,41.5,60,0,12.73,clear sky
34,East London,ZA,-33.0153,27.9116,73.2,82,78,9.48,broken clouds
35,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,87,8,11.21,clear sky
36,Aykhal,RU,66.0,111.5,-8.73,50,29,0.94,scattered clouds
37,Butaritari,KI,3.0707,172.7902,81.81,76,46,13.06,light rain
38,Warrnambool,AU,-38.3833,142.4833,62.82,88,23,6.2,few clouds
39,Vestmannaeyjar,IS,63.4427,-20.2734,33.67,74,99,29.01,overcast clouds
40,Tessalit,ML,20.1986,1.0114,67.03,16,17,10.22,few clouds
41,Thompson,CA,55.7435,-97.8558,-5.64,71,100,5.75,overcast clouds
42,Kasongo,CD,-4.45,26.6667,69.21,97,100,3.69,overcast clouds
43,Hobyo,SO,5.3505,48.5268,77.14,75,86,15.48,overcast clouds
